Re,Stenosis length/Radius,Degree of stenosis,Asymmetry,Pressure difference
500,30.0,0.1,1.0,1.8542057142857142
600,30.0,0.1,1.0,1.5831428571428567
700,30.0,0.1,1.0,1.3915626822157432
800,30.0,0.1,1.0,1.2441696428571425
30,30.0,0.1,0.5,28.028571428571425
50,30.0,0.1,0.5,16.385142857142853
100,30.0,0.1,0.5,8.362285714285711
200,30.0,0.1,0.5,4.252499999999999
300,30.0,0.1,0.5,2.9219999999999993
400,30.0,0.1,0.5,2.2487142857142848
500,30.0,0.1,0.5,1.8511199999999999
600,30.0,0.1,0.5,1.5801428571428566
700,30.0,0.1,0.5,1.3887288629737606
800,30.0,0.1,0.5,1.241397321428571
30,30.0,0.1,0.0,27.94285714285714
50,30.0,0.1,0.0,16.385142857142853
100,30.0,0.1,0.0,8.354571428571425
200,30.0,0.1,0.0,4.246714285714284
300,30.0,0.1,0.0,2.915999999999999
400,30.0,0.1,0.0,2.2438928571428565
500,30.0,0.1,0.0,1.8471085714285713
600,30.0,0.1,0.0,1.576928571428571
700,30.0,0.1,0.0,1.3860524781341106
800,30.0,0.1,0.0,1.2392276785714282
30,5.0,0.2,1.0,10.97142857142857
50,5.0,0.2,1.0,6.479999999999998
100,5.0,0.2,1.0,3.425142857142856
200,5.0,0.2,1.0,1.8610714285714278
300,5.0,0.2,1.0,1.347428571428571
400,5.0,0.2,1.0,1.0799999999999996
500,5.0,0.2,1.0,0.9198514285714285
600,5.0,0.2,1.0,0.8087142857142855
700,5.0,0.2,1.0,0.7301807580174926
800,5.0,0.2,1.0,0.6692142857142854
30,5.0,0.2,0.5,10.885714285714284
50,5.0,0.2,0.5,6.449142857142855
100,5.0,0.2,0.5,3.3865714285714272
200,5.0,0.2,0.5,1.8321428571428564
300,5.0,0.2,0.5,1.3225714285714283
30,2.5,0.2,1.0,8.485714285714284
50,2.5,0.2,1.0,5.029714285714284
100,2.5,0.2,1.0,2.669142857142856
200,2.5,0.2,1.0,1.4618571428571423
300,2.5,0.2,1.0,1.067142857142857
400,2.5,0.2,1.0,0.8649642857142854
500,2.5,0.2,1.0,0.7470514285714286
600,2.5,0.2,1.0,0.6677142857142856
700,2.5,0.2,1.0,0.6144664723032068
800,2.5,0.2,1.0,0.5754374999999998
30,2.5,0.2,0.5,8.399999999999999
50,2.5,0.2,0.5,4.967999999999998
100,2.5,0.2,0.5,2.622857142857142
200,2.5,0.2,0.5,1.4232857142857138
300,2.5,0.2,0.5,1.0285714285714282
400,2.5,0.2,0.5,0.8249464285714283
500,2.5,0.2,0.5,0.7050857142857142
600,2.5,0.2,0.5,0.6235714285714284
700,2.5,0.2,0.5,0.5680233236151603
800,2.5,0.2,0.5,0.5266205357142856
30,2.5,0.2,0.0,8.399999999999999
50,2.5,0.2,0.0,4.937142857142855
100,2.5,0.2,0.0,2.6074285714285703
200,2.5,0.2,0.0,1.4039999999999995
300,2.5,0.2,0.0,1.0105714285714282
400,2.5,0.2,0.0,0.8061428571428568
500,2.5,0.2,0.0,0.6844114285714286
600,2.5,0.2,0.0,0.600642857142857
700,2.5,0.2,0.0,0.5417317784256559
800,2.5,0.2,0.0,0.496486607142857
30,10.0,0.2,1.0,16.02857142857143
50,10.0,0.2,1.0,9.442285714285712
100,10.0,0.2,1.0,4.92942857142857
200,10.0,0.2,1.0,2.645999999999999
300,10.0,0.2,1.0,1.9062857142857137
400,10.0,0.2,1.0,1.5240535714285708
500,10.0,0.2,1.0,1.2947657142857143
600,10.0,0.2,1.0,1.1348571428571426
700,10.0,0.2,1.0,1.0208046647230318
800,10.0,0.2,1.0,0.9313794642857139
30,10.0,0.2,0.5,16.02857142857143
50,10.0,0.2,0.5,9.442285714285712
100,10.0,0.2,0.5,4.921714285714284
200,10.0,0.2,0.5,2.6305714285714275
300,10.0,0.2,0.5,1.8891428571428566
400,10.0,0.2,0.5,1.506696428571428
500,10.0,0.2,0.5,1.2771771428571428
600,10.0,0.2,0.5,1.1170714285714283
700,10.0,0.2,0.5,1.003014577259475
800,10.0,0.2,0.5,0.9136607142857139
30,10.0,0.2,0.0,16.02857142857143
50,10.0,0.2,0.0,9.442285714285712
100,10.0,0.2,0.0,4.913999999999998
200,10.0,0.2,0.0,2.626714285714285
300,10.0,0.2,0.0,1.8848571428571423
400,10.0,0.2,0.0,1.5028392857142852
500,10.0,0.2,0.0,1.2734742857142856
600,10.0,0.2,0.0,1.1134285714285712
700,10.0,0.2,0.0,0.9993935860058307
800,10.0,0.2,0.0,0.9098035714285712
30,15.0,0.2,1.0,21.257142857142856
50,15.0,0.2,1.0,12.497142857142853
100,15.0,0.2,1.0,6.479999999999998
200,15.0,0.2,1.0,3.438642857142856
300,15.0,0.2,1.0,2.468571428571428
400,15.0,0.2,1.0,1.9748571428571422
500,15.0,0.2,1.0,1.6814057142857142
600,15.0,0.2,1.0,1.4774999999999996
700,15.0,0.2,1.0,1.33268221574344
800,15.0,0.2,1.0,1.2188571428571424
30,15.0,0.2,0.5,21.257142857142856
50,15.0,0.2,0.5,12.497142857142853
100,15.0,0.2,0.5,6.464571428571427
200,15.0,0.2,0.5,3.425142857142856
300,15.0,0.2,0.5,2.454857142857142
400,15.0,0.2,0.5,1.9623214285714279
500,15.0,0.2,0.5,1.6702971428571427
600,15.0,0.2,0.5,1.4680714285714282
700,15.0,0.2,0.5,1.3244956268221573
800,15.0,0.2,0.5,1.211866071428571
30,15.0,0.2,0.0,21.257142857142856
50,15.0,0.2,0.0,12.497142857142853
