Re;Stenosis length [cm];Radius [cm];Stenosis length/Radius;Degree of stenosis;Asymmetry;Pressure difference [dyn/cm^2]
800;0.375;0.15;2.5;0.7;1;651159
30;0.375;0.15;2.5;0.7;0.5;1490
50;0.375;0.15;2.5;0.7;0.5;3297
100;0.375;0.15;2.5;0.7;0.5;11276
200;0.375;0.15;2.5;0.7;0.5;39382
300;0.375;0.15;2.5;0.7;0.5;84760
400;0.375;0.15;2.5;0.7;0.5;146098
500;0.375;0.15;2.5;0.7;0.5;224689
600;0.375;0.15;2.5;0.7;0.5;319156
700;0.375;0.15;2.5;0.7;0.5;432134
800;0.375;0.15;2.5;0.7;0.5;560933
30;0.375;0.15;2.5;0.7;0;1381
50;0.375;0.15;2.5;0.7;0;2995
100;0.375;0.15;2.5;0.7;0;9960
200;0.375;0.15;2.5;0.7;0;36033
300;0.375;0.15;2.5;0.7;0;76998
400;0.375;0.15;2.5;0.7;0;129848
500;0.375;0.15;2.5;0.7;0;203482
600;0.375;0.15;2.5;0.7;0;291853
700;0.375;0.15;2.5;0.7;0;392063
800;0.375;0.15;2.5;0.7;0;509125
30;1.5;0.15;10;0.7;1;3032
50;1.5;0.15;10;0.7;1;5742
100;1.5;0.15;10;0.7;1;17134
200;1.5;0.15;10;0.7;1;54022
300;1.5;0.15;10;0.7;1;109119
400;1.5;0.15;10;0.7;1;180298
500;1.5;0.15;10;0.7;1;269104
600;1.5;0.15;10;0.7;1;373256
700;1.5;0.15;10;0.7;1;495526
800;1.5;0.15;10;0.7;1;617533
30;1.5;0.15;10;0.7;0.5;3000
50;1.5;0.15;10;0.7;0.5;5623
100;1.5;0.15;10;0.7;0.5;16643
200;1.5;0.15;10;0.7;0.5;52548
300;1.5;0.15;10;0.7;0.5;107141
400;1.5;0.15;10;0.7;0.5;178136
500;1.5;0.15;10;0.7;0.5;266528
600;1.5;0.15;10;0.7;0.5;370979
700;1.5;0.15;10;0.7;0.5;493495
800;1.5;0.15;10;0.7;0.5;590748
30;1.5;0.15;10;0.7;0;2976
50;1.5;0.15;10;0.7;0;5441
100;1.5;0.15;10;0.7;0;15372
200;1.5;0.15;10;0.7;0;49299
300;1.5;0.15;10;0.7;0;100589
400;1.5;0.15;10;0.7;0;160976
500;1.5;0.15;10;0.7;0;244305
600;1.5;0.15;10;0.7;0;322638
700;1.5;0.15;10;0.7;0;423115
30;2.25;0.15;15;0.7;1;4225
50;2.25;0.15;15;0.7;1;7430
100;2.25;0.15;15;0.7;1;20170
200;2.25;0.15;15;0.7;1;62191
300;2.25;0.15;15;0.7;1;124796
400;2.25;0.15;15;0.7;1;205275
500;2.25;0.15;15;0.7;1;304879
600;2.25;0.15;15;0.7;1;420473
700;2.25;0.15;15;0.7;1;556184
800;2.25;0.15;15;0.7;1;698820
30;2.25;0.15;15;0.7;0.5;4218
50;2.25;0.15;15;0.7;0.5;7377
100;2.25;0.15;15;0.7;0.5;19498
200;2.25;0.15;15;0.7;0.5;59565
300;2.25;0.15;15;0.7;0.5;119489
400;2.25;0.15;15;0.7;0.5;197624
500;2.25;0.15;15;0.7;0.5;286758
600;2.25;0.15;15;0.7;0.5;396831
700;2.25;0.15;15;0.7;0.5;507355
800;2.25;0.15;15;0.7;0.5;648332
30;2.25;0.15;15;0.7;0;4208
50;2.25;0.15;15;0.7;0;7339
100;2.25;0.15;15;0.7;0;18609
200;2.25;0.15;15;0.7;0;54558
300;2.25;0.15;15;0.7;0;109632
400;2.25;0.15;15;0.7;0;180131
500;2.25;0.15;15;0.7;0;276229
600;2.25;0.15;15;0.7;0;363877
700;2.25;0.15;15;0.7;0;487799
30;3;0.15;20;0.7;1;5493
50;3;0.15;20;0.7;1;9362
100;3;0.15;20;0.7;1;22985
200;3;0.15;20;0.7;1;68002
300;3;0.15;20;0.7;1;135887
400;3;0.15;20;0.7;1;223139
500;3;0.15;20;0.7;1;330540
600;3;0.15;20;0.7;1;454993
700;3;0.15;20;0.7;1;597220
800;3;0.15;20;0.7;1;713903
30;3;0.15;20;0.7;0.5;5491
50;3;0.15;20;0.7;0.5;9346
100;3;0.15;20;0.7;0.5;22403
200;3;0.15;20;0.7;0.5;63862
300;3;0.15;20;0.7;0.5;126944
400;3;0.15;20;0.7;0.5;208669
500;3;0.15;20;0.7;0.5;308229
600;3;0.15;20;0.7;0.5;430624
700;3;0.15;20;0.7;0.5;542388
800;3;0.15;20;0.7;0.5;663127
30;3;0.15;20;0.7;0;5477
50;3;0.15;20;0.7;0;9322
100;3;0.15;20;0.7;0;22020
200;3;0.15;20;0.7;0;61932
300;3;0.15;20;0.7;0;116668
400;3;0.15;20;0.7;0;187937
500;3;0.15;20;0.7;0;282297
600;3;0.15;20;0.7;0;388763
700;3;0.15;20;0.7;0;512781
800;3;0.15;20;0.7;0;652278
30;4.5;0.15;30;0.7;1;8105
50;4.5;0.15;30;0.7;1;13568
100;4.5;0.15;30;0.7;1;30224
200;4.5;0.15;30;0.7;1;77895
300;4.5;0.15;30;0.7;1;149509
400;4.5;0.15;30;0.7;1;243452
500;4.5;0.15;30;0.7;1;359090
600;4.5;0.15;30;0.7;1;490341
700;4.5;0.15;30;0.7;1;643078
800;4.5;0.15;30;0.7;1;814870
30;4.5;0.15;30;0.7;0.5;8104
50;4.5;0.15;30;0.7;0.5;13567
100;4.5;0.15;30;0.7;0.5;30166
200;4.5;0.15;30;0.7;0.5;75838
300;4.5;0.15;30;0.7;0.5;145145
400;4.5;0.15;30;0.7;0.5;232035
500;4.5;0.15;30;0.7;0.5;325362
600;4.5;0.15;30;0.7;0.5;434079
700;4.5;0.15;30;0.7;0.5;562301
800;4.5;0.15;30;0.7;0.5;699371
30;4.5;0.15;30;0.7;0;8095
50;4.5;0.15;30;0.7;0;13551
800;1.5;0.15;10;0.7;0;552670
800;2.25;0.15;15;0.7;0;587616
100;4.5;0.15;30;0.7;0;30014
200;4.5;0.15;30;0.7;0;72408
300;4.5;0.15;30;0.7;0;135805
400;4.5;0.15;30;0.7;0;212281
500;4.5;0.15;30;0.7;0;310211
600;4.5;0.15;30;0.7;0;417497
700;4.5;0.15;30;0.7;0;544474
800;4.5;0.15;30;0.7;0;677891
500;4.5;0.15;30;0.8;0;1436456
600;4.5;0.15;30;0.8;0;1962591
700;4.5;0.15;30;0.8;0;2574613
800;4.5;0.15;30;0.8;0;3227685
30;3;0.15;20;0.8;1;21713
50;3;0.15;20;0.8;1;38210
100;3;0.15;20;0.8;1;101812
200;3;0.15;20;0.8;1;307017
300;3;0.15;20;0.8;1;613454
400;3;0.15;20;0.8;1;1010695
500;3;0.15;20;0.8;1;1502404
600;3;0.15;20;0.8;1;2068090
700;3;0.15;20;0.8;1;2742561
800;3;0.15;20;0.8;1;3488763
30;3;0.15;20;0.8;0.5;21658
50;3;0.15;20;0.8;0.5;37818
100;3;0.15;20;0.8;0.5;97989
200;3;0.15;20;0.8;0.5;292921
300;3;0.15;20;0.8;0.5;581462
400;3;0.15;20;0.8;0.5;956930
500;3;0.15;20;0.8;0.5;1407687
600;3;0.15;20;0.8;0.5;1957878
700;3;0.15;20;0.8;0.5;2380994
800;3;0.15;20;0.8;0.5;3265508
30;3;0.15;20;0.8;0;21645
50;3;0.15;20;0.8;0;37643
100;3;0.15;20;0.8;0;94032
200;3;0.15;20;0.8;0;266671
300;3;0.15;20;0.8;0;540391
400;3;0.15;20;0.8;0;900216
500;3;0.15;20;0.8;0;1287326
600;3;0.15;20;0.8;0;1755415
700;3;0.15;20;0.8;0;2379972
800;3;0.15;20;0.8;0;3007227
30;4.5;0.15;30;0.8;1;32019
50;4.5;0.15;30;0.8;1;54526
100;4.5;0.15;30;0.8;1;130820
200;4.5;0.15;30;0.8;1;362496
300;4.5;0.15;30;0.8;1;708564
400;4.5;0.15;30;0.8;1;1156499
500;4.5;0.15;30;0.8;1;1682337
600;4.5;0.15;30;0.8;1;2313587
700;4.5;0.15;30;0.8;1;3095938
800;4.5;0.15;30;0.8;1;3901750
30;4.5;0.15;30;0.8;0.5;31900
50;4.5;0.15;30;0.8;0.5;54113
100;4.5;0.15;30;0.8;0.5;129153
200;4.5;0.15;30;0.8;0.5;349571
300;4.5;0.15;30;0.8;0.5;671105
400;4.5;0.15;30;0.8;0.5;1073875
500;4.5;0.15;30;0.8;0.5;1537978
600;4.5;0.15;30;0.8;0.5;2088760
700;4.5;0.15;30;0.8;0.5;2780324
800;4.5;0.15;30;0.8;0.5;3400413
30;4.5;0.15;30;0.8;0;31939
50;4.5;0.15;30;0.8;0;54100
100;4.5;0.15;30;0.8;0;126484
200;4.5;0.15;30;0.8;0;330341
300;4.5;0.15;30;0.8;0;623817
400;4.5;0.15;30;0.8;0;994924
30;2.25;0.15;15;0.8;1;16840
50;2.25;0.15;15;0.8;1;31458
100;2.25;0.15;15;0.8;1;92485
200;2.25;0.15;15;0.8;1;291186
300;2.25;0.15;15;0.8;1;589874
400;2.25;0.15;15;0.8;1;975261
500;2.25;0.15;15;0.8;1;1457335
600;2.25;0.15;15;0.8;1;2049399
700;2.25;0.15;15;0.8;1;2706055
800;2.25;0.15;15;0.8;1;3454377
30;2.25;0.15;15;0.8;0.5;16762
50;2.25;0.15;15;0.8;0.5;30735
100;2.25;0.15;15;0.8;0.5;87824
200;2.25;0.15;15;0.8;0.5;276839
300;2.25;0.15;15;0.8;0.5;562390
400;2.25;0.15;15;0.8;0.5;937027
500;2.25;0.15;15;0.8;0.5;1392918
600;2.25;0.15;15;0.8;0.5;1887229
700;2.25;0.15;15;0.8;0.5;2545023
800;2.25;0.15;15;0.8;0.5;3150067
30;2.25;0.15;15;0.8;0;16693
50;2.25;0.15;15;0.8;0;30191
100;2.25;0.15;15;0.8;0;83547
200;2.25;0.15;15;0.8;0;254679
300;2.25;0.15;15;0.8;0;511185
400;2.25;0.15;15;0.8;0;846528
500;2.25;0.15;15;0.8;0;1279622
600;2.25;0.15;15;0.8;0;1742711
700;2.25;0.15;15;0.8;0;2312126
800;2.25;0.15;15;0.8;0;3005077
30;1.5;0.15;10;0.8;1;12680
50;1.5;0.15;10;0.8;1;26092
100;1.5;0.15;10;0.8;1;82408
200;1.5;0.15;10;0.8;1;264869
300;1.5;0.15;10;0.8;1;539944
400;1.5;0.15;10;0.8;1;898347
500;1.5;0.15;10;0.8;1;1347819
600;1.5;0.15;10;0.8;1;1867979
700;1.5;0.15;10;0.8;1;2501690
800;1.5;0.15;10;0.8;1;3177691
30;1.5;0.15;10;0.8;0.5;12384
50;1.5;0.15;10;0.8;0.5;24990
100;1.5;0.15;10;0.8;0.5;78849
200;1.5;0.15;10;0.8;0.5;253145
300;1.5;0.15;10;0.8;0.5;514946
400;1.5;0.15;10;0.8;0.5;852444
500;1.5;0.15;10;0.8;0.5;1277179
600;1.5;0.15;10;0.8;0.5;1818657
700;1.5;0.15;10;0.8;0.5;2389871
800;1.5;0.15;10;0.8;0.5;3116264
30;1.5;0.15;10;0.8;0;12143
50;1.5;0.15;10;0.8;0;23749
100;1.5;0.15;10;0.8;0;73218
200;1.5;0.15;10;0.8;0;238794
300;1.5;0.15;10;0.8;0;468944
400;1.5;0.15;10;0.8;0;759492
500;1.5;0.15;10;0.8;0;1160874
600;1.5;0.15;10;0.8;0;1658771
700;1.5;0.15;10;0.8;0;2129383
800;1.5;0.15;10;0.8;0;2802917
30;0.75;0.15;5;0.8;1;9138
50;0.75;0.15;5;0.8;1;20210
100;0.75;0.15;5;0.8;1;67020
200;0.75;0.15;5;0.8;1;224533
300;0.75;0.15;5;0.8;1;468910
400;0.75;0.15;5;0.8;1;791489
500;0.75;0.15;5;0.8;1;1211262
600;0.75;0.15;5;0.8;1;1699440
700;0.75;0.15;5;0.8;1;2260908
800;0.75;0.15;5;0.8;1;2915208
30;0.75;0.15;5;0.8;0.5;8724
50;0.75;0.15;5;0.8;0.5;19249
100;0.75;0.15;5;0.8;0.5;64242
200;0.75;0.15;5;0.8;0.5;214945
300;0.75;0.15;5;0.8;0.5;449464
400;0.75;0.15;5;0.8;0.5;765809
500;0.75;0.15;5;0.8;0.5;1172275
600;0.75;0.15;5;0.8;0.5;1638108
700;0.75;0.15;5;0.8;0.5;2228656
800;0.75;0.15;5;0.8;0.5;2860217
30;0.75;0.15;5;0.8;0;8304
50;0.75;0.15;5;0.8;0;18154
100;0.75;0.15;5;0.8;0;60550
200;0.75;0.15;5;0.8;0;201815
300;0.75;0.15;5;0.8;0;405777
400;0.75;0.15;5;0.8;0;670883
500;0.75;0.15;5;0.8;0;1018030
600;0.75;0.15;5;0.8;0;1467919
700;0.75;0.15;5;0.8;0;1864377
800;0.75;0.15;5;0.8;0;2505152
30;0.375;0.15;2.5;0.8;1;7455
50;0.375;0.15;2.5;0.8;1;17190
100;0.375;0.15;2.5;0.8;1;61130
200;0.375;0.15;2.5;0.8;1;218843
300;0.375;0.15;2.5;0.8;1;482611
400;0.375;0.15;2.5;0.8;1;838181
500;0.375;0.15;2.5;0.8;1;1311815
600;0.375;0.15;2.5;0.8;1;1867087
700;0.375;0.15;2.5;0.8;1;2504915
800;0.375;0.15;2.5;0.8;1;3286580
30;0.375;0.15;2.5;0.8;0.5;6887
50;0.375;0.15;2.5;0.8;0.5;15768
100;0.375;0.15;2.5;0.8;0.5;54943
200;0.375;0.15;2.5;0.8;0.5;192964
300;0.375;0.15;2.5;0.8;0.5;419933
400;0.375;0.15;2.5;0.8;0.5;736157
500;0.375;0.15;2.5;0.8;0.5;1124115
600;0.375;0.15;2.5;0.8;0.5;1602876
700;0.375;0.15;2.5;0.8;0.5;2214910
800;0.375;0.15;2.5;0.8;0.5;2855888
30;0.375;0.15;2.5;0.8;0;6592
50;0.375;0.15;2.5;0.8;0;15230
100;0.375;0.15;2.5;0.8;0;53993
200;0.375;0.15;2.5;0.8;0;192320
300;0.375;0.15;2.5;0.8;0;415935
400;0.375;0.15;2.5;0.8;0;720810
500;0.375;0.15;2.5;0.8;0;1116540
600;0.375;0.15;2.5;0.8;0;1588239
700;0.375;0.15;2.5;0.8;0;2164277
800;0.375;0.15;2.5;0.8;0;2802377
30;3;0.15;20;0.9;1;246266
50;3;0.15;20;0.9;1;466506
100;3;0.15;20;0.9;1;1372472
200;3;0.15;20;0.9;1;4403460
300;3;0.15;20;0.9;1;9183032
400;3;0.15;20;0.9;1;15520756
500;3;0.15;20;0.9;1;22745626
600;3;0.15;20;0.9;1;30963709
700;3;0.15;20;0.9;1;39172601
800;3;0.15;20;0.9;1;48589626
30;3;0.15;20;0.9;0.5;244689
50;3;0.15;20;0.9;0.5;454676
100;3;0.15;20;0.9;0.5;1311145
200;3;0.15;20;0.9;0.5;4001206
300;3;0.15;20;0.9;0.5;7487046
400;3;0.15;20;0.9;0.5;13094931
500;3;0.15;20;0.9;0.5;18781249
600;3;0.15;20;0.9;0.5;25874581
700;3;0.15;20;0.9;0.5;34066121
800;3;0.15;20;0.9;0.5;43797395
30;3;0.15;20;0.9;0;244199
50;3;0.15;20;0.9;0;445451
100;3;0.15;20;0.9;0;1220259
200;3;0.15;20;0.9;0;3744041
300;3;0.15;20;0.9;0;7553678
400;3;0.15;20;0.9;0;12720644
500;3;0.15;20;0.9;0;18648357
600;3;0.15;20;0.9;0;26013520
700;3;0.15;20;0.9;0;34220368
800;3;0.15;20;0.9;0;44737177
30;4.5;0.15;30;0.9;1;352889
50;4.5;0.15;30;0.9;1;620471
100;4.5;0.15;30;0.9;1;1606412
200;4.5;0.15;30;0.9;1;4757633
300;4.5;0.15;30;0.9;1;9649184
400;4.5;0.15;30;0.9;1;15474924
500;4.5;0.15;30;0.9;1;19104550
600;4.5;0.15;30;0.9;1;26110083
700;4.5;0.15;30;0.9;1;34692222
800;4.5;0.15;30;0.9;1;43527220
30;4.5;0.15;30;0.9;0.5;352567
50;4.5;0.15;30;0.9;0.5;617088
100;4.5;0.15;30;0.9;0.5;1561963
200;4.5;0.15;30;0.9;0.5;4462484
300;4.5;0.15;30;0.9;0.5;8101867
400;4.5;0.15;30;0.9;0.5;12937596
500;4.5;0.15;30;0.9;0.5;18597135
600;4.5;0.15;30;0.9;0.5;25777153
700;4.5;0.15;30;0.9;0.5;33883829
800;4.5;0.15;30;0.9;0.5;43004035
30;4.5;0.15;30;0.9;0;352729
50;4.5;0.15;30;0.9;0;616164
100;4.5;0.15;30;0.9;0;1513648
200;4.5;0.15;30;0.9;0;4148015
300;4.5;0.15;30;0.9;0;7930664
400;4.5;0.15;30;0.9;0;12731921
500;4.5;0.15;30;0.9;0;18748531
600;4.5;0.15;30;0.9;0;25842662
700;4.5;0.15;30;0.9;0;34524976
800;4.5;0.15;30;0.9;0;43896214
30;2.25;0.15;15;0.9;1;201064
50;2.25;0.15;15;0.9;1;405213
100;2.25;0.15;15;0.9;1;1269867
200;2.25;0.15;15;0.9;1;4198956
300;2.25;0.15;15;0.9;1;8731168
400;2.25;0.15;15;0.9;1;14554014
500;2.25;0.15;15;0.9;1;21673624
600;2.25;0.15;15;0.9;1;30114403
700;2.25;0.15;15;0.9;1;40281196
800;2.25;0.15;15;0.9;1;50288786
30;2.25;0.15;15;0.9;0.5;197685
50;2.25;0.15;15;0.9;0.5;392113
100;2.25;0.15;15;0.9;0.5;1218165
200;2.25;0.15;15;0.9;0.5;3946826
300;2.25;0.15;15;0.9;0.5;8022095
400;2.25;0.15;15;0.9;0.5;13168339
500;2.25;0.15;15;0.9;0.5;19539233
600;2.25;0.15;15;0.9;0.5;27070806
700;2.25;0.15;15;0.9;0.5;37536195
800;2.25;0.15;15;0.9;0.5;47733008
30;2.25;0.15;15;0.9;0;195053
50;2.25;0.15;15;0.9;0;376187
100;2.25;0.15;15;0.9;0;1125991
200;2.25;0.15;15;0.9;0;3596646
300;2.25;0.15;15;0.9;0;7418361
400;2.25;0.15;15;0.9;0;12521893
500;2.25;0.15;15;0.9;0;18912971
600;2.25;0.15;15;0.9;0;26283649
700;2.25;0.15;15;0.9;0;34296956
800;2.25;0.15;15;0.9;0;46266386
30;1.5;0.15;10;0.9;1;163684
50;1.5;0.15;10;0.9;1;354091
100;1.5;0.15;10;0.9;1;1156901
200;1.5;0.15;10;0.9;1;3899602
300;1.5;0.15;10;0.9;1;8254100
400;1.5;0.15;10;0.9;1;14045846
500;1.5;0.15;10;0.9;1;21674752
600;1.5;0.15;10;0.9;1;30191111
700;1.5;0.15;10;0.9;1;41186703
800;1.5;0.15;10;0.9;1;53175556
30;1.5;0.15;10;0.9;0.5;157414
50;1.5;0.15;10;0.9;0.5;338348
100;1.5;0.15;10;0.9;0.5;1115887
200;1.5;0.15;10;0.9;0.5;3695529
300;1.5;0.15;10;0.9;0.5;7866860
400;1.5;0.15;10;0.9;0.5;13467544
500;1.5;0.15;10;0.9;0.5;20322747
600;1.5;0.15;10;0.9;0.5;28536044
700;1.5;0.15;10;0.9;0.5;38654155
800;1.5;0.15;10;0.9;0.5;49217274
30;1.5;0.15;10;0.9;0;149722
50;1.5;0.15;10;0.9;0;315936
100;1.5;0.15;10;0.9;0;1031515
200;1.5;0.15;10;0.9;0;3504346
300;1.5;0.15;10;0.9;0;7545499
400;1.5;0.15;10;0.9;0;12828891
500;1.5;0.15;10;0.9;0;19590012
600;1.5;0.15;10;0.9;0;29403053
700;1.5;0.15;10;0.9;0;36816573
800;1.5;0.15;10;0.9;0;47273937
30;0.75;0.15;5;0.9;1;126620
50;0.75;0.15;5;0.9;1;285669
100;0.75;0.15;5;0.9;1;981933
200;0.75;0.15;5;0.9;1;3478014
300;0.75;0.15;5;0.9;1;7540087
400;0.75;0.15;5;0.9;1;13172529
500;0.75;0.15;5;0.9;1;20433429
600;0.75;0.15;5;0.9;1;28641746
700;0.75;0.15;5;0.9;1;39251377
800;0.75;0.15;5;0.9;1;51065890
30;0.75;0.15;5;0.9;0.5;119712
50;0.75;0.15;5;0.9;0.5;270505
100;0.75;0.15;5;0.9;0.5;916090
200;0.75;0.15;5;0.9;0.5;3319711
300;0.75;0.15;5;0.9;0.5;7090828
400;0.75;0.15;5;0.9;0.5;12206880
500;0.75;0.15;5;0.9;0.5;18377858
600;0.75;0.15;5;0.9;0.5;26436186
700;0.75;0.15;5;0.9;0.5;35609556
800;0.75;0.15;5;0.9;0.5;46080395
30;0.75;0.15;5;0.9;0;115134
50;0.75;0.15;5;0.9;0;260996
100;0.75;0.15;5;0.9;0;884876
200;0.75;0.15;5;0.9;0;3087680
300;0.75;0.15;5;0.9;0;6600257
400;0.75;0.15;5;0.9;0;11613207
500;0.75;0.15;5;0.9;0;17050667
600;0.75;0.15;5;0.9;0;24916965
700;0.75;0.15;5;0.9;0;34831151
800;0.75;0.15;5;0.9;0;44239585
30;0.375;0.15;2.5;0.9;1;102689
50;0.375;0.15;2.5;0.9;1;239881
100;0.375;0.15;2.5;0.9;1;868193
200;0.375;0.15;2.5;0.9;1;3254400
300;0.375;0.15;2.5;0.9;1;7240054
400;0.375;0.15;2.5;0.9;1;12734287
500;0.375;0.15;2.5;0.9;1;19836949
600;0.375;0.15;2.5;0.9;1;28386647
700;0.375;0.15;2.5;0.9;1;38867277
800;0.375;0.15;2.5;0.9;1;50486104
30;0.375;0.15;2.5;0.9;0.5;97063
50;0.375;0.15;2.5;0.9;0.5;224594
100;0.375;0.15;2.5;0.9;0.5;802260
200;0.375;0.15;2.5;0.9;0.5;2975058
300;0.375;0.15;2.5;0.9;0.5;6613665
400;0.375;0.15;2.5;0.9;0.5;11508513
500;0.375;0.15;2.5;0.9;0.5;18082801
600;0.375;0.15;2.5;0.9;0.5;25829827
700;0.375;0.15;2.5;0.9;0.5;34869608
800;0.375;0.15;2.5;0.9;0.5;45432101
30;0.375;0.15;2.5;0.9;0;93143
50;0.375;0.15;2.5;0.9;0;216445
100;0.375;0.15;2.5;0.9;0;776402
200;0.375;0.15;2.5;0.9;0;2937228
300;0.375;0.15;2.5;0.9;0;6240256
400;0.375;0.15;2.5;0.9;0;10854026
500;0.375;0.15;2.5;0.9;0;16821563
600;0.375;0.15;2.5;0.9;0;25079284
700;0.375;0.15;2.5;0.9;0;33275563
800;0.375;0.15;2.5;0.9;0;43928439
